,1D,1W,2W,1M,3M,6M,9M,1Y
2018-9-3,2.2770,2.6210,2.6650,2.7160,2.8870,3.2070,3.4130,3.5020      
2018-9-4,2.1950,2.6000,2.6460,2.7060,2.8780,3.2050,3.4090,3.5000 
2018-9-5,2.1640,2.5520,2.6230,2.6960,2.8500,3.2000,3.4030,3.5000

2018-9-6,2.4940,2.6330,2.6380,2.7000,2.8450,3.2010,3.4070,3.5000

2018-9-7,2.5910,2.6730,2.7050,2.7120,2.8510,3.2020,3.4090,3.5000

2018-9-10,2.5730,2.6790,2.7150,2.7230,2.8420,3.2090,3.4140,3.5000

2018-9-11,2.5900,2.6860,2.7350,2.7350,2.8480,3.2130,3.4190,3.5010

2018-9-12,2.5570,2.6750,2.7340,2.7510,2.8460,3.2160,3.4370,3.5130

2018-9-13,2.5300,2.6630,2.7320,2.7600,2.8430,3.2220,3.4470,3.5210

2018-9-14,2.4890,2.6450,2.7140,2.7560,2.8300,3.2240,3.4520,3.5225

2018-9-17,2.4660,2.6390,2.7060,2.7490,2.8220,3.2270,3.4480,3.5160

2018-9-18,2.6540,2.6850,2.7190,2.7530,2.8200,3.2330,3.4490,3.5140

2018-9-19,2.5620,2.6680,2.7190,2.7510,2.8180,3.2350,3.4530,3.5130

2018-9-20,2.5190,2.6590,2.7330,2.7530,2.8120,3.2410,3.4480,3.5120

2018-9-21,2.5140,2.6540,2.7460,2.7540,2.8150,3.2480,3.4530,3.5160

2018-9-25,2.5430,2.6920,2.7910,2.7710,2.8270,3.2570,3.4610,3.5200

2018-9-26,2.5530,2.7110,2.8790,2.7850,2.8300,3.2670,3.4750,3.5230



2018-9-27,2.4600,2.7220,2.9860,2.7990,2.8380,3.2750,3.4840,3.5260
